,filename,measure,current_chord,next_chord,current_position,next_position
1755,187,121.5,F,C,1.3.3.2.1.1,x.3.5.5.5.3
1756,187,11.5,E7(no5),E7(no5),x.7.6.7.5.x,x.7.6.7.5.x
1757,187,10.5,C,E7(no5),x.3.5.5.5.3,x.7.6.7.5.x
1758,187,6.5,G7,C,3.5.3.4.3.3,x.3.5.5.5.3
1759,187,5.5,F,G7,1.3.3.2.1.1,3.5.3.4.3.3
1760,187,4.5,D7(no5),F,x.5.4.5.3.x,1.3.3.2.1.1
1761,187,3.5,D7(no5),D7(no5),x.5.4.5.3.x,x.5.4.5.3.x
1762,187,121.0,C,F,x.3.5.5.5.3,1.3.3.2.1.1
1763,188,15.5,D,Cadd9,x.x.0.2.3.2,x.3.2.0.3.3
1764,188,16.5,Cadd9,D,x.3.2.0.3.3,x.x.0.2.3.2
1765,188,1.5,D/F#,C/E,x.x.4.2.3.2,x.x.2.0.1.0
1766,188,2.5,C/E,D,x.x.2.0.1.0,x.x.0.2.3.2
1767,188,19.5,Em,C,0.2.2.0.0.0,x.3.2.0.1.0
1768,188,20.5,C,D,x.3.2.0.1.0,x.x.0.2.3.2
1769,188,18.0,G,D,x.x.5.4.3.3,x.x.0.2.3.2
1770,188,73.5,Em7,C,0.2.0.0.0.0,x.3.2.0.1.0
1771,188,72.5,D,Em7,x.x.0.2.3.2,0.2.0.0.0.0
1772,188,47.5,D,C,x.x.0.2.3.2,x.3.2.0.1.0
1773,188,44.5,D/F#,Em,x.x.4.2.3.2,0.2.2.0.0.0
1774,188,43.0,D,Csus2,x.x.0.2.3.2,x.3.0.0.3.x
1775,188,0.5,G,D/F#,x.x.5.4.3.3,x.x.4.2.3.2
1776,188,43.5,Csus2,G,x.3.0.0.3.x,x.x.5.4.3.3
1777,188,3.5,D,G,x.x.0.2.3.2,x.x.5.4.3.3
1778,188,18.5,D,Em,x.x.0.2.3.2,0.2.2.0.0.0
1779,189,105.0,A5,C5,x.0.2.2.x.x,x.3.5.5.x.x
1780,189,96.5,A5,E5,x.0.2.2.x.x,0.2.2.x.x.x
1781,189,71.5,C5,C5,x.3.5.5.x.x,x.3.5.5.x.x
1782,189,72.0,C5,A5,x.3.5.5.x.x,x.0.2.2.x.x
1783,189,45.5,G5,D5,3.x.0.0.3.3,x.x.0.2.3.x
1784,189,46.0,D5,A5,x.x.0.2.3.x,x.0.2.2.x.x
1785,189,44.5,C5,G5,x.3.5.5.x.x,3.x.0.0.3.3
1786,189,43.5,D5,C5,x.5.7.7.x.x,x.3.5.5.x.x
